Round,AI,ME,Result
1,2,0,1
2,2,1,3
3,1,2,1
4,2,2,2
5,2,2,2
6,0,0,2
7,0,2,3
8,0,0,2
9,1,2,1
10,2,0,1
11,1,0,3
12,1,0,3
13,2,2,2
14,0,2,3
15,0,2,3
16,1,0,3
17,2,2,2
18,1,1,2
19,2,2,2
20,0,1,1
21,1,0,3
22,2,2,2
23,2,2,2
24,0,2,3
25,0,2,3
26,1,2,1
27,1,1,2
28,0,1,1
29,0,2,3
30,2,1,3
31,2,0,1
32,1,1,2
33,1,1,2
34,0,2,3
35,0,0,2
36,2,1,3
37,1,0,3
38,1,0,3
39,0,2,3
40,2,1,3
41,2,2,2
42,0,2,3
43,2,2,2
44,1,2,3
45,1,0,3
46,2,2,2
47,2,0,1
48,1,2,1
49,2,0,1
50,1,1,2
51,1,2,1
52,2,1,3
53,2,1,3
54,0,2,3
55,2,2,2
56,2,0,1
57,2,0,1
58,2,1,3
59,0,2,3
60,2,0,1
61,0,1,1
62,1,0,3
63,1,2,1
64,2,0,1
65,0,2,3
66,0,2,1
67,2,0,1
68,1,1,2
69,1,0,3
70,1,0,3
71,2,2,2
72,2,2,2
73,0,0,2
74,0,0,2
75,0,1,1
76,1,0,3
77,2,0,1
78,1,2,1
79,2,1,3
80,0,0,2
81,1,1,2
82,1,0,3
83,1,1,2
84,2,0,1
85,0,2,3
86,0,0,2
87,0,0,2
88,2,1,3
89,1,2,1
90,0,0,2
91,2,2,2
92,0,1,1
93,2,2,2
94,2,0,1
95,1,2,1
96,0,1,1
97,1,2,1
98,2,0,1
99,1,1,2
100,1,2,1